epoch,lr,train_loss,val_loss
0.0,0.001,5.859123366894108,5.1138550865818075
1.0,0.001,4.918891774545802,4.71538590617343
2.0,0.001,4.603601507621236,4.508960545422806
3.0,0.001,4.3831625031952814,4.373055319910798
4.0,0.001,4.244913887269426,4.229492604852442
5.0,0.001,4.1979058119330075,4.159413405827114
6.0,0.001,4.109274819345758,4.081846569145709
7.0,0.001,4.021219893257217,4.016135094870983
8.0,0.001,3.9620662467314465,3.9579688922260368
9.0,0.001,3.8863920386474913,3.9123759001073704
10.0,0.001,3.827206536094741,3.8368316704118755
11.0,0.001,3.758689592380335,3.7993798016062685
12.0,0.001,3.713609265809012,3.7511068743239466
13.0,0.001,3.658503473395168,3.7122895012439137
14.0,0.001,3.617427226340417,3.6927249004663354
15.0,0.001,3.5713385473383537,3.6508732628774356
16.0,0.001,3.521185336726727,3.622051659244407
17.0,0.001,3.520735183564743,3.5993463652474538
18.0,0.001,3.4574841178289732,3.587564663148262
19.0,0.001,3.432890809408509,3.560821396004506
20.0,0.001,3.396553669825639,3.549173375250588
21.0,0.001,3.368338351202483,3.5779007915519854
22.0,0.001,3.349693241685924,3.513572769625566
23.0,0.001,3.286473307279077,3.5075514100686886
24.0,0.001,3.296688356021843,3.498231098685466
25.0,0.001,3.263577926276934,3.476309014518016
26.0,0.001,3.2450507253703504,3.461901175424127
27.0,0.001,3.2221935928458034,3.4518687528383802
28.0,0.001,3.195517879901546,3.4295897325519586
29.0,0.001,3.193646497065478,3.4366946196412176
30.0,0.001,3.17289664721725,3.4169171743949414
31.0,0.001,3.151905668844091,3.4060563830062898
32.0,0.001,3.1342180695864235,3.4118381280534464
33.0,0.001,3.1238487215325383,3.3933827454895082
34.0,0.001,3.1142825844264266,3.3873746697331817
35.0,0.001,3.0869723735469403,3.388192222871531
36.0,0.001,3.0480371867076004,3.387821150977367
37.0,0.001,3.0368892249494497,3.3633575573773453
38.0,0.001,3.018262348552742,3.3782794015028585
39.0,0.001,3.0094807336826137,3.354464512235922
40.0,0.001,2.98279077227753,3.3649849325598367
41.0,0.001,2.9949554547224895,3.363919058556048
42.0,0.001,2.969470135056146,3.3380407975233295
43.0,0.001,2.9237741692231434,3.3424556029874313
44.0,0.001,2.968300739137253,3.3312341735156727
45.0,0.001,2.927189727820972,3.33523120726618
46.0,0.001,2.908113177460019,3.341151192874256
47.0,0.001,2.9039307726491796,3.317884820327912
48.0,0.001,2.888074010905653,3.3192799916449687
49.0,0.001,2.8708401458098156,3.324967636668706
50.0,0.001,2.8612846572800437,3.322608689187278
51.0,0.001,2.8285226444206617,3.323084551563685
52.0,0.001,2.8259084862057526,3.3279619835751877
53.0,0.001,2.8224790993303355,3.3119465191839206
54.0,0.001,2.8062650897715353,3.3159408727642035
55.0,0.001,2.7677517787064656,3.3221214297311885
56.0,0.001,2.7758230596485705,3.314204140688092
57.0,0.001,2.7665056899042413,3.312226694114731
58.0,0.001,2.756375220742556,3.3208094425124663
59.0,0.001,2.7482370480452434,3.3122618668515917
60.0,0.001,2.73683497457221,3.313915247888392
61.0,0.001,2.721846377495492,3.332805835025411
62.0,0.001,2.7188089720093376,3.314472136603035
63.0,0.001,2.7115557901930103,3.3090210891585476
64.0,0.001,2.7107274768376115,3.331090872436462
65.0,0.001,2.7073110731521455,3.3238653853625597
66.0,0.001,2.663478409889901,3.3207341103966326
67.0,0.001,2.646528779870213,3.316873091807068
68.0,0.001,2.639338436693248,3.328267320061114
69.0,0.001,2.6559622146115442,3.321918848774563
70.0,0.001,2.6259229017956423,3.329498259354405
71.0,0.001,2.622185799154905,3.318734209782161
72.0,0.001,2.6028892875898,3.334420767348537
73.0,0.001,2.6099349579008497,3.324885100186231
74.0,0.001,2.584097751296393,3.3387997121638215
75.0,0.001,2.5705179648824257,3.330495268286354
76.0,0.001,2.55213465548978,3.3304451567306366
77.0,0.001,2.578094303017796,3.347771536176593
78.0,0.001,2.554227038185195,3.3268531275467135
79.0,0.001,2.5271509071387865,3.32854578816435
80.0,0.001,2.531550933819006,3.35719442655383
81.0,0.001,2.52469279270361,3.3470715982333514
82.0,0.001,2.5086987231037403,3.3517425376884415
83.0,0.001,2.511766254311741,3.3592168785916487
84.0,0.001,2.524410292653754,3.3642325650758185
85.0,0.001,2.4810266919655377,3.3490722342516097
86.0,0.001,2.476330528164854,3.3609122419261355
87.0,0.001,2.4848086763136457,3.3599289941116117
88.0,0.001,2.48881461596725,3.3618853902912718
89.0,0.001,2.471304640911593,3.355670368167716
90.0,0.001,2.463138436326886,3.378559004133136
91.0,0.001,2.444076670278417,3.364488626150058
92.0,0.001,2.4519991851089022,3.3531204023111756
93.0,0.001,2.4520183010856704,3.361413095078958
94.0,0.001,2.4427911125787416,3.384701664059215
95.0,0.001,2.4302881967903365,3.3754621645814216
96.0,0.001,2.399030890795264,3.3773558384455904
97.0,0.001,2.4008296078974656,3.3909481166593984
98.0,0.001,2.4016929711445725,3.3638545224364376
99.0,0.001,2.37032948154034,3.3722935931783327
100.0,0.001,2.3923672992404144,3.3646862041542467
101.0,0.001,2.389104741634709,3.3786037841313323
102.0,0.001,2.369468103541006,3.389007524705269
103.0,0.001,2.3380444167864205,3.3752829678341656
104.0,0.001,2.3489525105693554,3.380159979614933
105.0,0.001,2.3685920474552873,3.3881112699297593
106.0,0.001,2.3193501977637263,3.3998141552600822
107.0,0.001,2.345390350511759,3.398051054664781
108.0,0.001,2.3349194113570864,3.387242034167591
109.0,0.001,2.3442679065288883,3.394399731211979
110.0,0.001,2.3120691516611838,3.3983361716241665
111.0,0.001,2.3221580816967653,3.3930354578874002
112.0,0.001,2.3029838434540397,3.3927077206087786
113.0,0.001,2.2920586602522595,3.4041885773180955
114.0,0.001,2.2918022221857957,3.406762127425349
115.0,0.001,2.284242631185173,3.418940929339925
116.0,0.001,2.272361164045806,3.423383154859485
117.0,0.001,2.2801496439641067,3.409919981025834
118.0,0.001,2.2686241416647883,3.4093929143019124
119.0,0.001,2.2572404630113354,3.41812703499132
120.0,0.001,2.2539474822507044,3.445188846626512
121.0,0.001,2.2493319452399074,3.431478682178367
122.0,0.001,2.246381030224337,3.4378867413196526
123.0,0.001,2.2299569880608283,3.428116620906162
124.0,0.001,2.2132251616751795,3.442968539308974
125.0,0.001,2.2204656471120248,3.439230467472038
126.0,0.001,2.233782423604833,3.449574897946486
127.0,0.001,2.2066969942338397,3.4598925761293837
128.0,0.001,2.205374054389425,3.4475957210394936
129.0,0.001,2.2069122012298887,3.4482333660125732
130.0,0.001,2.206388825237161,3.4465910548895176
